epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9889,0.6478,3.9317,1.06357,0.0015,1,0.995,0.85066,0.43938,5.28058,1.03506,0.000515976,0.000515976,0.000515976
2,189.654,0.65226,3.44529,1.04564,0.00156,1,0.72567,0.60267,0.46238,5.45953,0.96666,0.00106457,0.00106457,0.00106457
3,280.326,0.77318,2.81122,1.07756,1,0.4098,0.9775,0.79058,0.6337,5.63465,1.0346,0.00160583,0.00160583,0.00160583
4,370.043,0.68564,2.59712,0.99214,0.61668,0.57143,0.79375,0.41056,1.1937,5.63378,2.0277,0.00163399,0.00163399,0.00163399
5,461.876,0.72666,2.336,1.02823,0.81052,0.85714,0.82789,0.35249,1.09417,6.18681,1.43618,0.00162299,0.00162299,0.00162299
6,549.575,0.70742,2.18424,1.03262,0.48307,1,0.58688,0.36435,0.86401,6.30916,1.42798,0.00161199,0.00161199,0.00161199
7,640.845,0.71664,2.04871,1.03215,0.96951,0.85714,0.90167,0.774,0.63176,3.63803,1.01522,0.00160099,0.00160099,0.00160099
8,730.713,0.72178,1.89489,1.0127,0.63266,0.98543,0.86985,0.75531,0.58315,4.23987,1.02642,0.00158998,0.00158998,0.00158998
9,817.754,0.6923,1.55851,1.01325,0.97711,0.85714,0.96389,0.86956,0.55455,4.35107,0.97261,0.00157898,0.00157898,0.00157898
10,906.118,0.66713,1.62068,0.99468,0.66658,0.85685,0.68367,0.63167,0.51986,3.13737,0.98634,0.00156798,0.00156798,0.00156798
11,992.973,0.67819,1.52763,1.00856,0.98329,1,0.995,0.85424,0.49129,2.35886,1.09353,0.00155698,0.00155698,0.00155698
12,1082.02,0.61571,1.34471,0.99552,0.97243,1,0.995,0.89519,0.47416,2.42484,0.95051,0.00154598,0.00154598,0.00154598
13,1171.26,0.60789,1.23964,0.95577,0.81391,1,0.92375,0.85054,0.46502,2.6363,0.93534,0.00153497,0.00153497,0.00153497
14,1260.55,0.58973,1.14513,0.94853,0.61665,1,0.85318,0.75033,0.54044,2.38088,1.05852,0.00152397,0.00152397,0.00152397
15,1350.13,0.65345,1.16934,0.97605,0.9684,1,0.995,0.94667,0.38559,2.09755,0.87338,0.00151297,0.00151297,0.00151297
16,1437.71,0.64205,1.13434,0.9864,0.99073,1,0.995,0.93009,0.41755,1.26338,0.87939,0.00150197,0.00150197,0.00150197
17,1525.56,0.52777,0.96093,0.93171,0.99253,1,0.995,0.9265,0.42345,1.08826,0.8889,0.00149096,0.00149096,0.00149096
18,1615.73,0.55344,0.96161,0.94971,0.99298,1,0.995,0.967,0.45241,1.16254,0.89395,0.00147996,0.00147996,0.00147996
19,1706.33,0.52818,0.90576,0.92409,0.99331,1,0.995,0.917,0.45776,1.05234,0.91832,0.00146896,0.00146896,0.00146896
20,1792.98,0.57621,0.91261,0.96279,0.98773,1,0.995,0.941,0.48403,1.03036,0.89215,0.00145796,0.00145796,0.00145796
21,1884.13,0.54661,0.79973,0.96321,0.99193,1,0.995,0.84949,0.54575,0.9453,1.1376,0.00144696,0.00144696,0.00144696
22,1972.05,0.52528,0.68738,0.9286,0.99291,1,0.995,0.88354,0.43891,0.89553,0.90692,0.00143595,0.00143595,0.00143595
23,2060.87,0.59406,0.90392,0.94802,0.99253,1,0.995,0.8579,0.5627,0.87784,0.93237,0.00142495,0.00142495,0.00142495
24,2149.03,0.5439,0.76501,0.95225,0.61013,1,0.89467,0.8388,0.45148,2.58446,0.89566,0.00141395,0.00141395,0.00141395
25,2235.52,0.56294,0.69967,0.92466,0.8224,0.85714,0.96389,0.86386,0.59569,2.005,1.13602,0.00140295,0.00140295,0.00140295
26,2323.39,0.56263,0.66815,0.96441,0.96572,1,0.995,0.89792,0.51107,1.18143,0.96306,0.00139195,0.00139195,0.00139195
27,2410.16,0.6286,0.75836,0.9833,0.98244,1,0.995,0.89792,0.46035,0.90693,0.89488,0.00138094,0.00138094,0.00138094
28,2503.47,0.55877,0.66104,0.94221,0.92654,1,0.995,0.892,0.50664,1.13684,0.89865,0.00136994,0.00136994,0.00136994
29,2592.83,0.53507,0.59368,0.94822,0.98526,1,0.995,0.92036,0.40652,0.64777,0.95761,0.00135894,0.00135894,0.00135894
30,2692.07,0.52188,0.58488,0.9366,0.99145,1,0.995,0.88321,0.46646,0.6713,0.93341,0.00134794,0.00134794,0.00134794
31,2823.29,0.53793,0.64774,0.95687,0.99197,1,0.995,0.9069,0.47883,0.64417,0.8911,0.00133693,0.00133693,0.00133693
32,2921.72,0.4798,0.51763,0.89744,0.87041,1,0.995,0.91,0.46025,0.79136,0.88121,0.00132593,0.00132593,0.00132593
33,3052.76,0.47344,0.50286,0.91329,0.86823,1,0.9775,0.894,0.3641,0.98209,0.84283,0.00131493,0.00131493,0.00131493
34,3169.72,0.5305,0.54845,0.8954,0.98064,1,0.995,0.89479,0.45769,0.67613,0.87699,0.00130393,0.00130393,0.00130393
35,3258.96,0.5059,0.54265,0.94003,0.97973,1,0.995,0.96217,0.35408,0.5979,0.82295,0.00129293,0.00129293,0.00129293
36,3348.33,0.45434,0.5027,0.89892,0.96486,1,0.995,0.93537,0.35957,0.61124,0.83386,0.00128192,0.00128192,0.00128192
37,3436.19,0.43222,0.49096,0.90597,0.99312,1,0.995,0.924,0.3647,0.49532,0.84487,0.00127092,0.00127092,0.00127092
38,3525.3,0.43168,0.4275,0.89193,0.99313,1,0.995,0.92836,0.34583,0.43718,0.83161,0.00125992,0.00125992,0.00125992
39,3614.71,0.44674,0.4494,0.8977,0.99296,1,0.995,0.9069,0.38715,0.42427,0.84051,0.00124892,0.00124892,0.00124892
40,3705,0.45082,0.47703,0.90395,0.96772,1,0.995,0.9156,0.37087,0.5214,0.83618,0.00123791,0.00123791,0.00123791
41,3794.61,0.48258,0.47859,0.91293,0.99275,1,0.995,0.9472,0.29619,0.43674,0.8081,0.00122691,0.00122691,0.00122691
42,3883.49,0.42548,0.42906,0.91556,0.99313,1,0.995,0.9515,0.3094,0.41976,0.83298,0.00121591,0.00121591,0.00121591
43,3973.68,0.43783,0.48074,0.89953,0.9933,1,0.995,0.91357,0.37277,0.41439,0.85901,0.00120491,0.00120491,0.00120491
44,4064.98,0.45503,0.45147,0.91855,0.98973,1,0.995,0.89386,0.38454,0.41234,0.84167,0.00119391,0.00119391,0.00119391
45,4155,0.47709,0.45757,0.91614,0.99313,1,0.995,0.94657,0.35107,0.49633,0.81193,0.0011829,0.0011829,0.0011829
46,4246.37,0.43801,0.41041,0.90095,0.99316,1,0.995,0.9345,0.33084,0.37694,0.83847,0.0011719,0.0011719,0.0011719
47,4336.12,0.449,0.44279,0.90241,0.99336,1,0.995,0.9575,0.34538,0.41489,0.82832,0.0011609,0.0011609,0.0011609
48,4425.62,0.43275,0.39801,0.8947,0.99331,1,0.995,0.941,0.30229,0.35575,0.84847,0.0011499,0.0011499,0.0011499
49,4512.43,0.39753,0.38481,0.88887,0.99151,1,0.995,0.92533,0.34328,0.38511,0.83521,0.00113889,0.00113889,0.00113889
50,4601,0.41788,0.38204,0.89501,0.98713,1,0.995,0.94809,0.30845,0.41109,0.81806,0.00112789,0.00112789,0.00112789
51,4689.71,0.49033,0.43501,0.92383,0.98555,1,0.995,0.92836,0.37839,0.38678,0.89279,0.00111689,0.00111689,0.00111689
52,4778.79,0.42103,0.41022,0.88669,0.99267,1,0.995,0.9268,0.35209,0.34518,0.85299,0.00110589,0.00110589,0.00110589
53,4865.42,0.45402,0.46584,0.90101,0.98937,1,0.995,0.94307,0.35132,0.36303,0.8429,0.00109489,0.00109489,0.00109489
54,4954.61,0.4787,0.41331,0.91873,0.9908,1,0.995,0.953,0.3669,0.37159,0.84022,0.00108388,0.00108388,0.00108388
55,5044.04,0.43287,0.43605,0.92921,0.99205,1,0.995,0.979,0.33814,0.35443,0.81986,0.00107288,0.00107288,0.00107288
56,5131.79,0.43085,0.42072,0.9121,0.99274,1,0.995,0.979,0.34985,0.37093,0.84029,0.00106188,0.00106188,0.00106188
57,5227.82,0.40027,0.3696,0.86112,0.99277,1,0.995,0.95521,0.27725,0.32151,0.83491,0.00105088,0.00105088,0.00105088
58,5318.78,0.41983,0.40738,0.91399,0.99259,1,0.995,0.97286,0.2781,0.34344,0.80199,0.00103987,0.00103987,0.00103987
59,5409.15,0.46442,0.40868,0.91398,0.99329,1,0.995,0.91675,0.38504,0.34261,0.86468,0.00102887,0.00102887,0.00102887
60,5506.37,0.45405,0.40121,0.89697,0.99309,1,0.995,0.93595,0.31437,0.30884,0.84011,0.00101787,0.00101787,0.00101787
61,5597.26,0.44833,0.41462,0.92116,0.99313,1,0.995,0.92957,0.33298,0.31089,0.81522,0.00100687,0.00100687,0.00100687
62,5685.54,0.39041,0.35507,0.90867,0.99312,1,0.995,0.97486,0.23936,0.25655,0.80574,0.000995866,0.000995866,0.000995866
63,5772.49,0.35706,0.3301,0.8819,0.99322,1,0.995,0.995,0.24604,0.27027,0.7858,0.000984864,0.000984864,0.000984864
64,5860.34,0.39295,0.34181,0.88852,0.99314,1,0.995,0.95071,0.30862,0.23945,0.8419,0.000973861,0.000973861,0.000973861
65,5948.16,0.36661,0.34343,0.89787,0.99312,1,0.995,0.9544,0.26272,0.26459,0.79091,0.000962859,0.000962859,0.000962859
66,6037.14,0.424,0.46862,0.90578,0.99288,1,0.995,0.95521,0.27263,0.27225,0.80628,0.000951857,0.000951857,0.000951857
67,6126.53,0.36359,0.32014,0.88125,0.99296,1,0.995,0.963,0.30548,0.28462,0.8337,0.000940855,0.000940855,0.000940855
68,6216.49,0.40322,0.36653,0.9167,0.99319,1,0.995,0.91371,0.40146,0.30176,0.82979,0.000929853,0.000929853,0.000929853
69,6306.3,0.41544,0.37957,0.90995,0.99316,1,0.995,0.91233,0.38151,0.30839,0.82223,0.00091885,0.00091885,0.00091885
70,6395.01,0.35421,0.31977,0.88012,0.99328,1,0.995,0.92836,0.30119,0.25655,0.81432,0.000907848,0.000907848,0.000907848
