epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87665,0.96292,2.29886,0.01337,0.89669,0.65567,0.90384,0.66686,1.58084,0.96612,0.01154,0,0,0
2,7.32161,1.1672,2.43933,0.01393,0.89669,0.65567,0.90384,0.66686,1.58084,0.96612,0.01154,3.9274e-05,3.9274e-05,3.9274e-05
3,10.7135,0.97877,2.76016,0.0208,0.89669,0.65567,0.90384,0.66686,1.58084,0.96612,0.01154,7.77625e-05,7.77625e-05,7.77625e-05
4,14.2861,1.43231,2.23926,0.03047,0.83784,0.67268,0.89635,0.66458,1.592,0.96712,0.01193,0.000115466,0.000115466,0.000115466
5,17.9569,1.30534,2.6363,0.02237,0.83784,0.67268,0.89635,0.66458,1.592,0.96712,0.01193,0.000114288,0.000114288,0.000114288
6,21.455,1.0656,1.74354,0.01445,0.83784,0.67268,0.89635,0.66458,1.592,0.96712,0.01193,0.00011311,0.00011311,0.00011311
7,24.8251,1.23933,2.44636,0.01158,0.7945,0.66694,0.88149,0.66598,1.60233,1.00407,0.01203,0.000111931,0.000111931,0.000111931
8,28.207,0.91296,1.73917,0.00928,0.7945,0.66694,0.88149,0.66598,1.60233,1.00407,0.01203,0.000110753,0.000110753,0.000110753
9,31.7857,1.12896,2.71085,0.01695,0.7945,0.66694,0.88149,0.66598,1.60233,1.00407,0.01203,0.000109575,0.000109575,0.000109575
10,35.8023,0.93843,1.57429,0.00856,0.77685,0.68148,0.83592,0.62384,1.61142,1.026,0.01224,0.000108397,0.000108397,0.000108397
11,39.2781,1.05562,2.0127,0.01244,0.77685,0.68148,0.83592,0.62384,1.61142,1.026,0.01224,0.000107219,0.000107219,0.000107219
12,43.1093,0.911,1.52352,0.01054,0.77685,0.68148,0.83592,0.62384,1.61142,1.026,0.01224,0.000106041,0.000106041,0.000106041
